"","true_var","UB_boot","LB_boot","point_estimate_boot","point_estimate_rub","LB_rub","UB_rub","UB","LB","point_estimate","rubin_width","jackknife_width","boot_width"
"1",2,2.76158514863924,0.970621222002371,2.0424293433655,2.13380938705832,1.065286052729,3.20233272138765,2.61915381181297,1.54361503816331,2.1936403947954,2.13704666865865,1.07553877364966,1.79096392663687
"2",2,2.91971204043807,1.26906135813008,2.13983810492251,2.07674362626285,1.08320833307261,3.07027891945309,2.8043524939901,1.71337976344335,2.24984943268344,1.98707058638048,1.09097273054675,1.65065068230799
"3",2,2.89578427288353,0.937040114761095,1.94049948451329,2.09759919738323,1.09003939397924,3.10515900078722,2.76355406894037,1.30240719191674,2.02840147489788,2.01511960680798,1.46114687702363,1.95874415812243
"4",2,2.31007086009797,0.977543013176673,1.67279165604326,1.45959828319505,0.766954672183223,2.15224189420687,2.1536051074318,1.343032457633,1.73841197217732,1.38528722202365,0.8105726497988,1.3325278469213
"5",2,3.13435431065343,1.08044603778917,2.02860666710564,2.12068895989312,1.30298496625164,2.93839295353459,2.67537435645517,1.01256691562788,1.87200258901539,1.63540798728295,1.66280744082729,2.05390827286426
"6",2,3.05961540867544,1.14600093465834,2.14935335935121,1.8443662195437,0.645829484296492,3.04290295479091,2.86524983648832,1.60677280711276,2.10852019066477,2.39707347049442,1.25847702937556,1.9136144740171
"7",2,2.68441958068392,1.22514410503882,1.94948313032881,1.7975717646185,0.728207461857549,2.86693606737945,2.60004733908589,1.45644605065167,1.97930291550218,2.1387286055219,1.14360128843422,1.4592754756451
"8",2,2.69984735000765,-0.184233828048036,1.51906014455378,1.32998038662824,0.131668206056787,2.52829256719969,2.5202817946387,0.418144740402311,1.53943560621808,2.3966243611429,2.10213705423639,2.88408117805569
"9",2,4.02865674347317,1.57602401957873,2.7606507905217,2.19457729628126,0.699066488030845,3.69008810453167,3.80874433188885,1.36767914904534,2.60330776551461,2.99102161650082,2.44106518284351,2.45263272389444
"10",2,3.04074231271316,0.520789293099569,1.81723088503193,1.26542798320821,-0.2519309192105,2.78278688562692,2.8978835502718,0.998175290066402,1.8949815177619,3.03471780483742,1.8997082602054,2.51995301961359
"11",2,4.01626630879686,1.98688810438717,2.84193442546973,2.47133513274006,1.0278141078349,3.91485615764522,3.48131472657344,1.85591154944173,2.60332005682296,2.88704204981032,1.62540317713171,2.02937820440969
"12",2,3.08576191332849,1.28463899024329,2.14473267034549,2.02377440173788,0.703131567685296,3.34441723579046,2.68217265062519,1.28011139729644,1.96248710105772,2.64128566810516,1.40206125332875,1.8011229230852
"13",2,2.46811738293159,0.928930536291665,1.68540976250755,1.88990117934203,0.842406835973164,2.9373955227109,2.38983421534449,1.21158016752797,1.82369784303773,2.09498868673774,1.17825404781652,1.53918684663992
"14",2,3.55118081012972,1.26965338635751,2.43489525600373,1.8482494351511,0.870727625767073,2.82577124453512,3.42793375832665,1.31583039660848,2.44029054536471,1.95504361876805,2.11210336171817,2.28152742377221
"15",2,2.6428982746014,1.34386073166151,1.95127976971271,2.26059245846641,1.59650898860683,2.924675928326,2.80686302550668,1.57345591939627,2.05952575068182,1.32816693971917,1.23340710611041,1.29903754293989
"16",2,3.24049862054152,0.908980920206975,2.1042098226648,1.91311865804,0.579574471266281,3.24666284481372,3.19231363900176,1.3310595077758,2.17997977574877,2.66708837354744,1.86125413122596,2.33151770033454
"17",2,3.89181694471287,1.26088754483872,2.72972955594065,2.92825279830216,2.18400679311833,3.67249880348599,3.66984878577037,1.49883190680269,2.77042557635348,1.48849201036766,2.17101687896768,2.63092939987415
"18",2,3.56263155411606,1.44920358471211,2.49599767146868,2.12974540711842,1.0916248156464,3.16786599859044,3.14551573357537,1.58972252909758,2.48089711774604,2.07624118294404,1.55579320447779,2.11342796940395
"19",2,2.86692552455931,1.07213583713841,1.96496652183915,1.75263223287666,0.614994126622576,2.89027033913073,2.66235689385607,1.10772517465963,1.9070614467194,2.27527621250815,1.55463171919644,1.7947896874209
"20",2,3.27601750968933,0.445520724194583,1.79228556366836,1.45761661966016,-0.194894843678423,3.11012808299875,3.42243636726075,0.860883115615969,2.01012926514621,3.30502292667717,2.56155325164478,2.83049678549475
"21",2,3.94234683892302,1.03670848419419,2.37458154938098,2.25546617846657,0.34008119279466,4.17085116413848,3.28552474387399,0.985989096288659,2.10829897844484,3.83076997134382,2.29953564758533,2.90563835472883
"22",2,2.58630092462913,0.609280039281862,1.72708826539932,1.76512670813665,0.846833252932378,2.68342016334093,2.62641190991571,1.1464259260197,1.92329104975196,1.83658691040855,1.47998598389601,1.97702088534727
"23",2,2.87457496841122,0.746091537273695,1.82836488090331,1.59504990907729,0.561882334129999,2.62821748402457,2.78734611321206,1.011928107089,2.04871710493112,2.06633514989457,1.77541800612306,2.12848343113752
"24",2,3.66651737381161,-0.562586826780927,1.55853194390554,1.29767397210697,-0.640949838955313,3.23629778316926,3.18683438500397,0.0587670001851625,1.74480794801175,3.87724762212457,3.12806738481881,4.22910420059254
"25",2,3.22206925687337,0.00147744806647686,1.59501159050578,1.43989775935464,-0.0500849349669115,2.9298804536762,3.07663580011552,0.639131569323404,1.73024219649638,2.97996538864311,2.43750423079212,3.22059180880689
"26",2,3.19483108017366,0.505324382131605,1.82127617871844,1.81952094572024,0.0315812347905744,3.60746065664991,2.73262760394929,0.785905412652117,1.74034069108223,3.57587942185934,1.94672219129717,2.68950669804205
